,Delta
2020-05-20 09:00:00,2.525521416666677
2020-05-20 10:00:00,0.6574222499999891
2020-05-20 11:00:00,-0.09114574999998837
2020-05-20 12:00:00,-0.4164070000000066
2020-05-20 13:00:00,1.0399738333333275
2020-05-20 14:00:00,0.4578124999999957
2020-05-20 15:00:00,0.2095054999999988
2020-05-20 16:00:00,0.4579435833333392
2020-05-20 17:00:00,0.1911454166666644
2020-05-20 18:00:00,2.283984583333336
2020-05-20 19:00:00,0.8920570000000012
2020-05-20 20:00:00,0.08294283333333398
2020-05-20 21:00:00,-0.2514312499999818
2020-05-20 22:00:00,-0.3825517499999975
2020-05-20 23:00:00,-0.4871095833333357
2020-05-21 00:00:00,-0.5677089166666747
2020-05-21 01:00:00,-0.7177098333333305
2020-05-21 02:00:00,-0.8354186666666692
2020-05-21 03:00:00,-0.8697923333333293
2020-05-21 04:00:00,-0.7963554999999971
2020-05-21 05:00:00,-0.7968757499999981
2020-05-21 06:00:00,-0.8229147500000167
2020-05-21 07:00:00,-0.7167961666666613
2020-05-21 08:00:00,-0.6333334166666589
2020-05-21 09:00:00,-0.699088416666676
2020-05-21 10:00:00,-0.7093743333333364
2020-05-21 11:00:00,-0.8343749999999943
2020-05-21 12:00:00,2.2169272499999977
2020-05-21 13:00:00,0.4835946666666615
2020-05-21 14:00:00,0.4330731666666665
2020-05-21 15:00:00,0.25781266666666625
2020-05-21 16:00:00,0.28307358333332644
2020-05-21 17:00:00,0.4238279999999932
2020-05-21 18:00:00,0.5166670833333384
2020-05-21 19:00:00,1.5253898333333282
2020-05-21 20:00:00,0.4246082499999986
2020-05-21 21:00:00,-0.2492186666666569
2020-05-21 22:00:00,-0.3597654166666686
2020-05-21 23:00:00,-0.5069018333333304
2020-05-22 00:00:00,-0.5838530833333238
2020-05-22 01:00:00,-0.5235687500000026
2020-05-22 02:00:00,-0.6770835833333351
2020-05-22 03:00:00,-0.6710930000000062
2020-05-22 04:00:00,-0.7575535833333333
2020-05-22 05:00:00,-0.7412774166666907
2020-05-22 06:00:00,-0.8010408333333245
2020-05-22 07:00:00,-0.900522583333327
2020-05-22 08:00:00,-0.8753895000000043
2020-05-22 09:00:00,-1.0166666666666586
2020-05-22 10:00:00,-0.9499999999999886
2020-05-22 11:00:00,-0.957942249999988
2020-05-22 12:00:00,-0.966405916666666
2020-05-22 13:00:00,-1.0348957500000182
2020-05-22 14:00:00,-1.1671874166666711
2020-05-22 15:00:00,-1.1088550000000057
2020-05-22 16:00:00,-1.1830728333333411
2020-05-22 17:00:00,-1.1596355833333476
2020-05-22 18:00:00,-1.1906244166666724
2020-05-22 19:00:00,-1.3166670833333498
2020-05-22 20:00:00,-1.2088529999999975
2020-05-22 21:00:00,-1.3757803333333456
